,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
450831,1745 Catering,Pass,,,,2013-11-18,55.608354,-3.064
450832,A   A Caldwell,Pass,,,,2014-10-16,55.618937,-3.064271
450833,A & D Patterson,Improvement Required,,,,2014-05-23,55.872314,-2.097301
450834,A & Z General Store,Pass,,,,2013-11-21,55.551678,-2.854294
450835,A Cake Of Your Dreams,Improvement Required,,,,2011-06-16,55.396031,-2.84708
450836,A Dalgetty & Sons,Pass,,,,2014-04-14,55.598028,-2.721186
450837,A G Miller Butchers,Pass,,,,2014-11-10,55.598028,-2.721186
450838,A J Learmonth,Pass,,,,2013-09-04,55.478193,-2.554486
450839,A Mitchell   Co,Pass,,,,2013-11-07,55.802333,-2.209636
450840,A S & P Robb Keystore,Pass,,,,2009-08-03,55.652206,-3.188242
450841,Abbey Bridge Tollhouse Cafe,Pass,,,,2014-09-04,55.474322,-2.553989
450842,Abbey Coffee Shop,Pass,,,,2014-07-23,55.598382,-2.720574
450843,Abbey Row Centre,Exempt,,,,2010-11-03,55.597305,-2.431609
450844,Abbey Row Nursery,Pass,,,,2012-03-01,55.597305,-2.431609
450845,Abbey View Cafe And Bookshop,Pass,,,,2014-06-23,55.477366,-2.554506
450846,Abbey View Takeaway,Pass,,,,2014-09-18,55.477366,-2.554506
450847,Abbey Wines,Pass,,,,2015-01-13,55.597457,-2.718986
450848,Abbeyfield Scotland,Pass,,,,2013-06-17,55.430662,-2.786603
450849,Abbotsford Arms Hotel,Improvement Required,,,,2014-12-15,55.61768,-2.806175
450850,Abbotsford Bowling Club,Pass,,,,2010-04-28,55.609441,-2.793655
450851,Aberlour Childcare Trust,Pass,,,,2014-02-11,55.568761,-2.643851
450852,Adam Purves & Son Ltd,Pass,,,,2014-07-14,55.621576,-2.817545
450853,Adam Purves Galashiels Ltd,Pass,,,,2012-01-18,55.598532,-2.722513
450854,Adams Home Bakery,Pass,,,,2014-03-13,55.618769,-3.063997
450855,Adam's Ices,Pass,,,,2014-10-13,55.611133,-2.784879
450856,Adamson's Snacks,Pass,,,,2014-05-02,55.615809,-3.223342
450857,Aebbe's View Bed And Breakfast,Pass,,,,2015-02-04,55.879643,-2.137758
450858,AG Ices -  X196 FCR,Improvement Required,,,,2014-10-10,55.869388,-2.10426
450859,Against The Grain,Pass,,,,2013-05-16,55.601289,-2.765637
